# Supercavitating wedge section - SYNTHETIC, GENERATED BY cad/tools/make-geometry.py
#
# NOT Newton-Rader data. NOT from any published supercavitating series. Newton & Rader
# (Trans. RINA 103, 1961) is the real source and is paywalled; this is a parametric stand-in
# built from the numbers the brief itself states, so a model can be built and checked.
#
# Determined by the brief: sharp leading edge, straight suction-side ramp, maximum thickness
# at the TRAILING edge, TE thickness = 4% of chord. Pressure face is flat (y=0).
# Consequence, not an input: a straight ramp to 4% at the TE gives a leading-edge
# included angle of atan(0.04) = 2.2906 deg. If a different LE angle is wanted the
# ramp must become convex - change it here, do not fudge the table.
#
# DESIGN SPEED = 45 knots. The brief calls recording this mandatory - "the geometry
# is poor below it, so a model without that number is not usable" - and it was recorded
# nowhere. It is an ASSUMPTION made here to make the design well-posed, not a measurement.
# Change it and the section family should change with it.
#
# Section is constant in form across radius; scale by local chord.
# x_c from 0 (sharp LE) to 1 (TE). y_pressure is the flat face; y_suction the ramp.
#
# FRAME  hub front face Z=0, thrust +Z, omega +Z right-hand. See cad/underwater_cad.md Conventions.
# UNITS  mm, degrees. r_R = r/R. c_D = c/D. See cad/CONVENTIONS.md.
# PITCH  FACE pitch (pitch line through the PRESSURE side). beta = atan(P/(2*pi*r)).
# AXIS   generator line at 50% chord (marine); sections placed and rotated about it.
# RAKE   generator-line rake ONLY - skew-induced rake NOT included; add it when placing.
# WIRE   seam at TE, constant point count, CCW seen from +Z. See Modelling notes.
x_c,y_pressure,y_suction
0.000000,0.000000,0.000000
0.025000,0.000000,0.001000
0.050000,0.000000,0.002000
0.075000,0.000000,0.003000
0.100000,0.000000,0.004000
0.125000,0.000000,0.005000
0.150000,0.000000,0.006000
0.175000,0.000000,0.007000
0.200000,0.000000,0.008000
0.225000,0.000000,0.009000
0.250000,0.000000,0.010000
0.275000,0.000000,0.011000
0.300000,0.000000,0.012000
0.325000,0.000000,0.013000
0.350000,0.000000,0.014000
0.375000,0.000000,0.015000
0.400000,0.000000,0.016000
0.425000,0.000000,0.017000
0.450000,0.000000,0.018000
0.475000,0.000000,0.019000
0.500000,0.000000,0.020000
0.525000,0.000000,0.021000
0.550000,0.000000,0.022000
0.575000,0.000000,0.023000
0.600000,0.000000,0.024000
0.625000,0.000000,0.025000
0.650000,0.000000,0.026000
0.675000,0.000000,0.027000
0.700000,0.000000,0.028000
0.725000,0.000000,0.029000
0.750000,0.000000,0.030000
0.775000,0.000000,0.031000
0.800000,0.000000,0.032000
0.825000,0.000000,0.033000
0.850000,0.000000,0.034000
0.875000,0.000000,0.035000
0.900000,0.000000,0.036000
0.925000,0.000000,0.037000
0.950000,0.000000,0.038000
0.975000,0.000000,0.039000
1.000000,0.000000,0.040000
