# Kappel tip-rake curve - SYNTHETIC, GENERATED BY cad/tools/make-geometry.py
#
# NOT MAN's Kappel geometry and NOT Sistemar's CLT. Both are proprietary and no tip-rake law
# is published; searching 2026-09-10 produced nothing tabulated. This is a curve constructed
# to satisfy the brief's stated requirement, which is the honest alternative to guessing.
#
# METHOD: quintic Hermite blend on r_R in [0.85, 1.0]. Six boundary conditions -
#   at r_R=0.85: height 0, slope matching the 15 deg linear rake, curvature 0
#   at r_R=1.00: height 0.075*R toward the SUCTION side, tangent 55 deg, curvature 0
# A quintic is the lowest polynomial order that can meet all six, which is exactly what the
# brief's 'curvature-continuous with no crease at the transition' demands. Curvature is
# continuous BY CONSTRUCTION here - that Done-when is satisfied by the method, not by luck.
#
# tip_rake_R is the rake height as a fraction of R, the number the brief asks be reported.
# rake_linear_R is the underlying 15 deg linear rake for comparison inboard of the blend.
# For the CLT variant this file does NOT apply: CLT is a discrete end plate on the PRESSURE
# side, a different construction. Getting the side backwards turns one design into the other.
#
# FRAME  hub front face Z=0, thrust +Z, omega +Z right-hand. See cad/underwater_cad.md Conventions.
# UNITS  mm, degrees. r_R = r/R. c_D = c/D. See cad/CONVENTIONS.md.
# PITCH  FACE pitch (pitch line through the PRESSURE side). beta = atan(P/(2*pi*r)).
# AXIS   generator line at 50% chord (marine); sections placed and rotated about it.
# RAKE   generator-line rake ONLY - skew-induced rake NOT included; add it when placing.
# WIRE   seam at TE, constant point count, CCW seen from +Z. See Modelling notes.
r_R,u,tip_rake_R,rake_linear_R
0.850000,0.000000,0.000000,0.227757
0.854839,0.032258,0.001286,0.229053
0.859677,0.064516,0.002511,0.230350
0.864516,0.096774,0.003633,0.231646
0.869355,0.129032,0.004620,0.232943
0.874194,0.161290,0.005459,0.234239
0.879032,0.193548,0.006147,0.235536
0.883871,0.225806,0.006694,0.236833
0.888710,0.258065,0.007119,0.238129
0.893548,0.290323,0.007451,0.239426
0.898387,0.322581,0.007726,0.240722
0.903226,0.354839,0.007985,0.242019
0.908065,0.387097,0.008277,0.243315
0.912903,0.419355,0.008653,0.244612
0.917742,0.451613,0.009165,0.245908
0.922581,0.483871,0.009868,0.247205
0.927419,0.516129,0.010816,0.248501
0.932258,0.548387,0.012061,0.249798
0.937097,0.580645,0.013653,0.251094
0.941935,0.612903,0.015638,0.252391
0.946774,0.645161,0.018054,0.253687
0.951613,0.677419,0.020935,0.254984
0.956452,0.709677,0.024305,0.256280
0.961290,0.741935,0.028180,0.257577
0.966129,0.774194,0.032564,0.258873
0.970968,0.806452,0.037449,0.260170
0.975806,0.838710,0.042814,0.261467
0.980645,0.870968,0.048624,0.262763
0.985484,0.903226,0.054826,0.264060
0.990323,0.935484,0.061351,0.265356
0.995161,0.967742,0.068112,0.266653
1.000000,1.000000,0.075000,0.267949
