# Aerial toroidal loop path - SYNTHETIC, GENERATED BY cad/tools/make-aerial-geometry.py
#
# NOT copied from the Ultimate Toroidal Propeller Generator. That project
# (https://github.com/RaulBejarano/Ultimate-Toroidal-Propeller-Generator) is the brief's
# recommended starting point and it uses a Catmull-Rom spline through five control points -
# but it is GPL-3.0, and copying its code would put this repository under GPL. The METHOD
# (a Catmull-Rom spline) is generic mathematics and is implemented independently here; the
# control points are this repo's own. Credit to that project for the approach.
# MIT Lincoln Laboratory holds the reference toroidal design.
#
# The path runs ROOT -> TIP -> ROOT and is closed by the HUB, not by a spline segment. Both
# ends sit at r/R 0.18 on opposite sides (-14 and +14 deg), which are the two root joints the
# brief asks for. Tangent continuity along the blade is a property of the spline, so it holds
# by construction - the brief's first Done-when.
#   r_R      radius, hub 0.18 out to the tip and back
#   theta    circumferential offset, deg - the two root joints sit at +/-14 deg
#   z_D      axial arch over the top of the loop
#
# NOT SETTLED HERE: whether the return branch clears the leading branch. That is a solid-model
# question - sweep the section, then test for self-intersection. A tangent-continuous
# centreline does not by itself guarantee a non-self-intersecting solid.
# Two or three loops per the brief: replicate at 180 or 120 deg about the axis.
#
# FRAME  hub front face Z=0, thrust +Z, omega +Z right-hand. See cad/aerial_cad.md Conventions.
# UNITS  mm, degrees. r_R = r/R. c_D = c/D. See cad/CONVENTIONS.md.
# PITCH  FACE pitch (flat-bottom datum, = APC 'quoted'). beta = atan(P/(2*pi*r)).
# AXIS   generator line at the LEADING EDGE (aerial) - APC define sweep and rake that way.
# RAKE   generator-line rake ONLY - skew-induced rake NOT included; add it when placing.
# WIRE   seam at TE, constant point count, CCW seen from +Z. Sharp TE - no marine floor.
r_R,theta_deg,z_D
0.180000,-14.000000,0.000000
0.180000,-14.000000,0.000000
0.180000,-14.000000,0.000000
0.180000,-14.000000,0.000000
0.180000,-14.000000,0.000000
0.180000,-14.000000,0.000000
0.180000,-14.000000,0.000000
0.180000,-14.000000,0.000000
0.180000,-14.000000,0.000000
0.180000,-14.000000,0.000000
0.180000,-14.000000,0.000000
0.180000,-14.000000,0.000000
0.180000,-14.000000,0.000000
0.180000,-14.000000,0.000000
0.180000,-14.000000,0.000000
0.180000,-14.000000,0.000000
0.180000,-14.000000,0.000000
0.180000,-14.000000,0.000000
0.180000,-14.000000,0.000000
0.180000,-14.000000,0.000000
0.180000,-14.000000,0.000000
0.180000,-14.000000,0.000000
0.180000,-14.000000,0.000000
0.180000,-14.000000,0.000000
0.180000,-14.000000,0.000000
0.180000,-14.000000,0.000000
0.180000,-14.000000,0.000000
0.180000,-14.000000,0.000000
0.180000,-14.000000,0.000000
0.180000,-14.000000,0.000000
0.550000,-26.000000,0.050000
0.567237,-25.943076,0.051999
0.585136,-25.776389,0.053994
0.603609,-25.505716,0.055980
0.622570,-25.136835,0.057952
0.641931,-24.675521,0.059907
0.661605,-24.127552,0.061840
0.681503,-23.498705,0.063746
0.701539,-22.794757,0.065620
0.721624,-22.021485,0.067460
0.741672,-21.184667,0.069259
0.761595,-20.290078,0.071014
0.781305,-19.343496,0.072720
0.800716,-18.350698,0.074372
0.819738,-17.317461,0.075967
0.838286,-16.249562,0.077500
0.856271,-15.152779,0.078966
0.873606,-14.032887,0.080360
0.890204,-12.895664,0.081680
0.905976,-11.746887,0.082919
0.920836,-10.592333,0.084074
0.934696,-9.437779,0.085140
0.947469,-8.289003,0.086112
0.959066,-7.151780,0.086987
0.969401,-6.031888,0.087760
0.978386,-4.935104,0.088426
0.985934,-3.867205,0.088981
0.991957,-2.833968,0.089420
0.996367,-1.841171,0.089739
0.999077,-0.894589,0.089934
1.000000,0.000000,0.090000
0.999077,0.894589,0.089934
0.996367,1.841171,0.089739
0.991957,2.833968,0.089420
0.985934,3.867205,0.088981
0.978386,4.935104,0.088426
0.969401,6.031888,0.087760
0.959066,7.151780,0.086987
0.947469,8.289003,0.086112
0.934696,9.437779,0.085140
0.920836,10.592333,0.084074
0.905976,11.746887,0.082919
0.890204,12.895664,0.081680
0.873606,14.032887,0.080360
0.856271,15.152779,0.078966
0.838286,16.249562,0.077500
0.819738,17.317461,0.075967
0.800716,18.350698,0.074372
0.781305,19.343496,0.072720
0.761595,20.290078,0.071014
0.741672,21.184667,0.069259
0.721624,22.021485,0.067460
0.701539,22.794757,0.065620
0.681503,23.498705,0.063746
0.661605,24.127552,0.061840
0.641931,24.675521,0.059907
0.622570,25.136835,0.057952
0.603609,25.505716,0.055980
0.585136,25.776389,0.053994
0.567237,25.943076,0.051999
0.550000,26.000000,0.050000
0.550000,26.000000,0.050000
0.550000,26.000000,0.050000
0.550000,26.000000,0.050000
0.550000,26.000000,0.050000
0.550000,26.000000,0.050000
0.550000,26.000000,0.050000
0.550000,26.000000,0.050000
0.550000,26.000000,0.050000
0.550000,26.000000,0.050000
0.550000,26.000000,0.050000
0.550000,26.000000,0.050000
0.550000,26.000000,0.050000
0.550000,26.000000,0.050000
0.550000,26.000000,0.050000
0.550000,26.000000,0.050000
0.550000,26.000000,0.050000
0.550000,26.000000,0.050000
0.550000,26.000000,0.050000
0.550000,26.000000,0.050000
0.550000,26.000000,0.050000
0.550000,26.000000,0.050000
0.550000,26.000000,0.050000
0.550000,26.000000,0.050000
0.550000,26.000000,0.050000
0.550000,26.000000,0.050000
0.550000,26.000000,0.050000
0.550000,26.000000,0.050000
0.550000,26.000000,0.050000
0.550000,26.000000,0.050000
0.180000,14.000000,0.000000
