# eVTOL proprotor chord and blended twist - SYNTHETIC, GENERATED BY cad/tools/make-aerial-geometry.py
#
# NOT a solved pair of design points. The brief wants two chord/twist tables from XROTOR or
# QPROP - one hover, one cruise - reconciled at a blend weight. This generates both twist
# distributions from simple blade-element inflow angles and blends them, so the STRUCTURE is
# right and the blend weight is live. Replace the two twist columns with solved tables.
#
# Chord follows the XV-15 planform (see xv15-reference.csv): constant outboard of r/R 0.25,
# tapering inboard. Real tiltrotor practice, scaled to this brief's D = 1500 mm.
#
# INFLOW RATIOS (assumptions): lambda = Va/(Omega*R) = 0.07 hover, 0.55 cruise. Cruise is
# coarser at every station because the freestream dominates the local helix angle; that is
# why a proprotor must compromise rather than pick one.
#
# THE BLEND WEIGHT IS THE DESIGN PROBLEM, per the brief: a blade optimal in hover is badly
# pitched in cruise and vice versa. blend = 0.5 here; twist_blended is what gets built.
# Sweep it and watch twist_deg move - that is the trade being made.
#
# Tip Mach cap 0.55 from the brief. At D = 1500 mm that caps tip speed at
# 187.2 m/s = 2383 rpm. Check any rpm choice against that.
#
# FRAME  hub front face Z=0, thrust +Z, omega +Z right-hand. See cad/aerial_cad.md Conventions.
# UNITS  mm, degrees. r_R = r/R. c_D = c/D. See cad/CONVENTIONS.md.
# PITCH  FACE pitch (flat-bottom datum, = APC 'quoted'). beta = atan(P/(2*pi*r)).
# AXIS   generator line at the LEADING EDGE (aerial) - APC define sweep and rake that way.
# RAKE   generator-line rake ONLY - skew-induced rake NOT included; add it when placing.
# WIRE   seam at TE, constant point count, CCW seen from +Z. Sharp TE - no marine floor.
r_R,c_D,twist_hover_deg,twist_cruise_deg,twist_blended_deg
0.150000,0.052117,33.016893,76.744881,54.880887
0.192500,0.049801,27.983107,72.709954,50.346530
0.235000,0.047484,24.587339,68.864303,46.725821
0.277500,0.046667,22.157633,65.226980,43.692306
0.320000,0.046667,20.339087,61.808377,41.073732
0.362500,0.046667,18.929488,58.611486,38.770487
0.405000,0.046667,17.806093,55.633420,36.719756
0.447500,0.046667,16.890423,52.866944,34.878684
0.490000,0.046667,16.130102,50.301866,33.215984
0.532500,0.046667,15.488899,47.926179,31.707539
0.575000,0.046667,14.940983,45.726970,30.333977
0.617500,0.046667,14.467459,43.691080,29.079269
0.660000,0.046667,14.054192,41.805571,27.929881
0.702500,0.046667,13.690404,40.058037,26.874220
0.745000,0.046667,13.367737,38.436784,25.902261
0.787500,0.046667,13.079608,36.930937,25.005273
0.830000,0.046667,12.820766,35.530470,24.175618
0.872500,0.046667,12.586971,34.226203,23.406587
0.915000,0.046667,12.374762,33.009777,22.692270
0.957500,0.046667,12.181287,31.873599,22.027443
1.000000,0.046667,12.004173,30.810794,21.407483
