# Trailing-edge serration schedule - SYNTHETIC, GENERATED BY cad/tools/make-aerial-geometry.py
#
# NOT measured. Amplitude and wavelength are the brief's parameters, expressed as ratios of
# LOCAL chord. Reference for the concept: serrated TE for drone noise,
# https://www.sciencedirect.com/science/article/abs/pii/S0003682X25005171
#
# From the brief: applied over r/R 0.5 to the tip, amplitude 5% and wavelength
# 10% of local chord, saw-tooth or sinusoidal, optionally on the leading edge too.
#
# WHY RATIOS OF LOCAL CHORD MATTER: the brief warns the serration must be applied along the
# edge curve IN THE BLADE'S OWN SURFACE, following the twist - not as a cut through a flat
# plane, which would bite deeper at the root than at the tip. Scheduling amplitude off local
# chord is what keeps the serration proportionate along the span; the columns below give the
# actual mm at each station so that can be checked rather than assumed.
#
# Local chord is taken from the real APC 10x5E (../fixed-pitch/apc-10x5e.csv).
# Export the PLAIN blade alongside the serrated one - the brief asks for the pair so they can
# be compared on a thrust stand.
#
# FRAME  hub front face Z=0, thrust +Z, omega +Z right-hand. See cad/aerial_cad.md Conventions.
# UNITS  mm, degrees. r_R = r/R. c_D = c/D. See cad/CONVENTIONS.md.
# PITCH  FACE pitch (flat-bottom datum, = APC 'quoted'). beta = atan(P/(2*pi*r)).
# AXIS   generator line at the LEADING EDGE (aerial) - APC define sweep and rake that way.
# RAKE   generator-line rake ONLY - skew-induced rake NOT included; add it when placing.
# WIRE   seam at TE, constant point count, CCW seen from +Z. Sharp TE - no marine floor.
r_R,chord_mm,amplitude_mm,wavelength_mm,teeth_per_chord
0.500000,25.362464,1.268123,2.536246,10
0.520000,24.948429,1.247421,2.494843,10
0.540000,24.475408,1.223770,2.447541,10
0.560000,23.938402,1.196920,2.393840,10
0.580000,23.358075,1.167904,2.335807,10
0.600000,22.736944,1.136847,2.273694,10
0.620000,22.077624,1.103881,2.207762,10
0.640000,21.378031,1.068902,2.137803,10
0.660000,20.648709,1.032435,2.064871,10
0.680000,19.896524,0.994826,1.989652,10
0.700000,19.124876,0.956244,1.912488,10
0.720000,18.337834,0.916892,1.833783,10
0.740000,17.538266,0.876913,1.753827,10
0.760000,16.733393,0.836670,1.673339,10
0.780000,15.926196,0.796310,1.592620,10
0.800000,15.120731,0.756037,1.512073,10
0.820000,14.325739,0.716287,1.432574,10
0.840000,13.544866,0.677243,1.354487,10
0.860000,12.779961,0.638998,1.277996,10
0.880000,12.035575,0.601779,1.203558,10
0.900000,11.316277,0.565814,1.131628,10
0.920000,10.634037,0.531702,1.063404,10
0.940000,9.987340,0.499367,0.998734,10
0.960000,9.195112,0.459756,0.919511,10
0.980000,7.231259,0.361563,0.723126,10
1.000000,0.414020,0.020701,0.041402,10
